Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20020917X03894,Incident,MKC82IA079,1982-05-13,"ST. LOUIS, MO",United States,,,STL,LAMBERT-ST. LOUIS INTL,Incident,Minor,Airplane,N2233Q,Cessna,402B,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,Trans Mo Airlines,0.0,0.0,0.0,8.0,VMC,Taxi,Probable Cause,13-05-1983
20020917X03236,Incident,DEN82IA090,1982-05-18,"GILLETTE, WY",United States,,,GCC,GILLETTE-CAMPBELL COUNTY,Incident,Minor,Airplane,N114GA,Gulfstream American,G-159C,No,2.0,Turbo Prop,Part 121: Air Carrier,SCHD,Unknown,"U.s. Aviation, Inc./air U.s.,",0.0,0.0,0.0,21.0,VMC,Landing,Probable Cause,18-05-1983
20020917X02891,Incident,ATL82IA139,1982-05-23,"CHARLOTTE, NC",United States,,,,CHARLOTTE DOUGLAS,Incident,Minor,Airplane,N88694,Cessna,404,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,Sunbird Airlines,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,23-05-1983
20020917X03511,Incident,FTW82IA209,1982-05-28,"LAKE CHARLES, LA",United States,,,,,Incident,Minor,Airplane,N222SA,Piper,PA-31P-135,No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,28-05-1983
20020917X02893,Incident,ATL82IA159,1982-06-02,"ASHEBORO, NC",United States,,,,,Incident,Minor,Airplane,N59749,Piper,PA-31-325,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Clarence Roberts/roberts Avia.,0.0,0.0,0.0,5.0,VMC,Cruise,Probable Cause,02-06-1983
20020917X02892,Incident,ATL82IA154,1982-06-06,"MACON, GA",United States,,,MCN,LEWIS B. WILSON,Incident,Minor,Airplane,N171DC,Beech,18,No,2.0,Reciprocating,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,06-06-1983
20020917X02713,Incident,ANC82IA048,1982-06-16,"NEAR PORT HEIDE, AK",United States,,,,,Incident,Minor,Airplane,N525N,De Havilland,DHC-6-100,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Sea Airmotive, Inc.",0.0,0.0,0.0,10.0,VMC,Cruise,Probable Cause,16-06-1983
20020917X02894,Incident,ATL82IA170,1982-06-20,"DAUPHIN ISLAND, AL",United States,,,4R9,DAUPHIN ISLAND,Incident,Minor,Airplane,N201WX,Mooney,M20J,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Go-around,Probable Cause,20-06-1983
20020917X04180,Incident,SEA82IA101,1982-07-05,"BOISE, ID",United States,,,BOI,BOISE AIR TERMINAL,Incident,Minor,Airplane,N919RW,Douglas,DC-9-31,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Republic Airlines West, Inc.",0.0,0.0,0.0,84.0,VMC,Takeoff,Probable Cause,05-07-1983
20020917X02895,Incident,ATL82IA198,1982-07-15,"NEAR SPARTA, GA",United States,,,,,Incident,Minor,Airplane,N33226,Cessna,177RG,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,IMC,Cruise,Probable Cause,15-07-1983
20020917X03895,Incident,MKC82IA128,1982-07-20,"FENTON, MO",United States,,,3WA,WEISS,Incident,Minor,Airplane,N3606B,Beech,E18S,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Executive Aviation, Inc.",0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,20-07-1983
20020917X04066,Incident,NYC82IA162,1982-07-23,"WESTHAMPTON BEA, NY",United States,,,FOK,SUFFOLK CO.,Incident,Minor,Airplane,N26005,Piper,PA-38-112,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,23-07-1983
20020917X04067,Incident,NYC82IA170,1982-07-28,"FLUSHING, NY",United States,,,LGA,LAGUARDIA,Incident,Minor,Airplane,N64323,Boeing,727-231,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Trans World Airlines,0.0,0.0,0.0,129.0,IMC,Approach,Probable Cause,28-07-1983
20020917X03097,Incident,CHI82IA282,1982-07-29,"COLUMBUS, OH",United States,,,OSU,OHIO STATE UNIVERSITY,Incident,Minor,Airplane,N6292D,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,29-07-1983
